GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,DelegatedAdministrationException,27,0,0,0,5,0,4,0,4,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,DefaultPasswordGenerator,629,0,138,0,157,0,87,0,18,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,SyncopeBasicAuthenticationEntryPoint,14,0,0,0,4,0,2,0,2,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,SecurityContext,87,0,0,0,20,0,15,0,15,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,UsernamePasswordAuthenticationProvider,314,0,18,0,66,0,21,0,12,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,JWTAuthenticationProvider,55,0,8,0,14,0,7,0,3,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,JWTAuthenticationFilter,151,0,8,0,36,0,9,0,5,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,SyncopeAuthenticationDetails,71,0,8,0,25,0,10,0,6,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,AuthContextUtils,212,0,22,0,49,0,21,0,10,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,JWTAuthentication,199,0,8,0,48,0,17,0,13,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,SecureRandomUtils,120,0,6,0,28,0,11,0,8,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,SyncopeGrantedAuthority,103,0,6,0,32,0,12,0,9,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,MustChangePasswordFilter,47,0,8,0,12,0,9,0,5,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,SyncopeAccessDeniedHandler,14,0,0,0,4,0,2,0,2,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,AuthDataAccessor,863,0,92,0,167,0,65,0,19,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,SyncopeJWTSSOProvider.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,Encryptor,70,287,8,34,22,76,8,21,0,8
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,DefaultCredentialChecker,43,0,6,0,15,0,8,0,5,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,SyncopeJWTSSOProvider,73,0,6,0,18,0,10,0,7,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,SyncopeAuthenticationDetailsSource,8,0,0,0,2,0,2,0,2,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security,WebSecurityContext,134,0,0,0,36,0,9,0,9,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring,ResourceWithFallbackLoader,70,0,4,0,18,0,11,0,9,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring,ImplementationManager,343,0,30,0,83,0,26,0,11,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring,ApplicationContextProvider,33,0,0,0,10,0,8,0,8,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.policy,HaveIBeenPwnedPasswordRule,145,0,16,0,37,0,16,0,8,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.policy,InvalidPasswordRuleConf,9,0,0,0,4,0,2,0,2,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.policy,PolicyException,7,0,0,0,4,0,2,0,2,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.policy,DefaultPasswordRule,539,0,100,0,101,0,72,0,22,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.policy,AccountPolicyException,7,0,0,0,4,0,2,0,2,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.policy,PolicyPattern,73,0,0,0,15,0,1,0,1,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.policy,PasswordPolicyException,7,0,0,0,4,0,2,0,2,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.policy,DefaultAccountRule,265,0,28,0,55,0,32,0,18,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security.jws,AccessTokenJWSSigner,94,0,12,0,21,0,11,0,5,0
My_tests/syncope-core-spring,org.apache.syncope.core.spring.security.jws,AccessTokenJWSVerifier,90,0,12,0,19,0,10,0,4,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.content,XMLContentExporter,1180,0,123,0,269,0,91,0,28,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.content,XMLContentLoader,227,0,4,0,62,0,11,0,9,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.content,KeymasterConfParamLoader,97,0,8,0,28,0,9,0,5,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.content,MultiParentNode,156,0,14,0,52,0,23,0,16,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.content,MultiParentNodeOp,47,0,8,0,12,0,6,0,2,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.content,ContentLoaderHandler,392,0,31,0,96,0,25,0,6,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPASAML2SP,1912,0,194,0,64,0,216,0,92,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAAuthProfile,774,0,84,0,39,0,87,0,39,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPACASSP,316,0,40,0,4,0,40,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAWAConfigEntry,321,0,40,0,5,0,40,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,AbstractClientApp,959,0,103,0,29,0,110,0,48,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPASAML2SPKeystore,405,0,49,0,7,0,50,0,24,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAAuthModuleItem,357,0,44,0,14,0,45,0,23,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAOIDCJWKS,316,0,40,0,4,0,40,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAAuthProfile.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAAuthProfile.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAAuthProfile.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAAuthProfile.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAOIDCRP,933,0,101,0,22,0,106,0,45,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAAuthModule,527,0,64,0,14,0,63,0,28,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAClientAppUtilsFactory,70,0,12,0,19,0,11,0,5,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPASAML2SPMetadata,405,0,49,0,7,0,50,0,24,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPAClientAppUtils,21,0,3,0,8,0,5,0,3,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.auth,JPASAML2IdPMetadata,761,0,85,0,19,0,90,0,40,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractGeneratedKeyEntity,475,0,68,0,4,0,76,0,42,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPADynRealmMembership,504,0,58,0,12,0,60,0,28,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAReportExec,427,0,49,0,10,0,51,0,25,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAVirSchema,614,0,67,0,21,0,75,0,37,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAAnyUtils,587,0,72,0,157,0,67,0,23,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractExec,708,0,72,0,16,0,83,0,41,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractAny,976,0,103,0,30,0,113,0,51,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAReportTemplate,494,0,58,0,10,0,60,0,28,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractPlainAttr,383,0,46,0,28,0,47,0,24,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPABatch,427,0,51,0,9,0,52,0,25,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAEntityFactory,806,0,174,0,182,0,94,0,7,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAAnyUtilsFactory,98,0,12,0,26,0,10,0,4,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAConnInstance,1267,0,136,0,41,0,142,0,59,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAApplication,439,0,53,0,9,0,54,0,26,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPADerSchema,425,0,49,0,13,0,55,0,29,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractEntity,84,0,12,0,17,0,13,0,7,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractDynMembership,293,0,36,0,4,0,38,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPADynRealm,346,0,44,0,8,0,44,0,22,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPARealm,1268,0,143,0,50,0,145,0,60,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAMailTemplate,405,0,49,0,7,0,50,0,24,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractPlainAttrValue,1202,0,166,0,144,0,149,0,51,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractGroupableRelatable,200,0,48,0,28,0,42,0,18,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPASRARoute,1187,0,125,0,39,0,132,0,56,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractProvidedKeyEntity,475,0,68,0,4,0,76,0,42,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPANotification,1356,0,143,0,45,0,152,0,64,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPALogger,681,0,92,0,10,0,98,0,49,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAImplementation,494,0,58,0,10,0,60,0,28,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAAnyType,426,0,53,0,8,0,52,0,24,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAConnPoolConf,900,0,112,0,44,0,122,0,60,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPARelationshipType,316,0,40,0,4,0,40,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAReport,820,0,95,0,25,0,95,0,40,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPARole,835,0,93,0,25,0,95,0,41,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAPrivilege,499,0,58,0,11,0,60,0,28,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAAccessToken,608,0,67,0,13,0,72,0,34,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,AbstractSchema,317,0,36,0,6,0,40,0,22,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAAnyAbout,504,0,58,0,12,0,60,0,28,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPASchemaLabel,499,0,58,0,11,0,60,0,28,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPARemediation,906,0,94,0,30,0,106,0,50,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAPlainSchema,1461,0,154,0,60,0,164,0,69,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAAnyTypeClass,614,0,67,0,14,0,68,0,30,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity,JPAAnyTemplateRealm,321,0,40,0,5,0,40,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPAOIDCRPDAO,99,0,4,0,30,0,13,0,11,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPAAuthModuleDAO,43,0,2,0,13,0,7,0,6,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPASAML2SPDAO,99,0,4,0,30,0,13,0,11,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPASAML2IdPMetadataDAO,43,0,0,0,12,0,4,0,4,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPAWAConfigDAO,54,0,2,0,16,0,8,0,7,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPAOIDCJWKSDAO,37,0,0,0,12,0,4,0,4,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPACASSPDAO,83,0,2,0,24,0,10,0,9,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPASAML2SPKeystoreDAO,43,0,0,0,12,0,4,0,4,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPAAuthProfileDAO,88,0,0,0,26,0,9,0,9,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao.auth,JPASAML2SPMetadataDAO,43,0,0,0,12,0,4,0,4,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAAccountPolicy,626,0,73,0,18,0,73,0,32,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAPullPolicy,346,0,44,0,7,0,44,0,22,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAPullCorrelationRuleEntity,323,0,40,0,6,0,41,0,21,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAAuthPolicy,330,0,42,0,6,0,41,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAPolicyUtils,29,0,7,0,12,0,9,0,3,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,AbstractProvisioningPolicy,293,0,36,0,4,0,38,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAPushPolicy,346,0,44,0,7,0,44,0,22,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,AbstractCorrelationRuleEntity,397,0,45,0,10,0,48,0,24,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAPushCorrelationRuleEntity,323,0,40,0,6,0,41,0,21,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAPolicyUtilsFactory,118,0,28,0,35,0,19,0,5,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAAccessPolicy,330,0,42,0,6,0,41,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAAttrReleasePolicy,330,0,42,0,6,0,41,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,JPAPasswordPolicy,516,0,60,0,14,0,61,0,28,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.entity.policy,AbstractPolicy,293,0,36,0,4,0,38,0,20,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,AbstractAnyDAO,1141,0,121,0,237,0,97,0,35,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,JPATaskExecDAO,295,0,34,0,73,0,31,0,14,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,JPAReportExecDAO,280,0,34,0,69,0,30,0,13,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,JPAReportTemplateDAO,39,0,2,0,11,0,6,0,5,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,SearchViewSupport,22,0,0,0,4,0,3,0,3,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,JPANotificationDAO,88,0,2,0,22,0,8,0,7,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,AbstractAnySearchDAO,683,0,90,0,134,0,67,0,22,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,JPAAnyTypeDAO,96,0,6,0,23,0,12,0,9,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,JPAReportDAO,75,0,2,0,21,0,9,0,8,0
My_tests/syncope-core-persistence-jpa,org.apache.syncope.core.persistence.jpa.dao,JPAAnyTypeClassDAO,210,0,22,0,42,0,16,0,5,0
